0000;191;H=37;T=40;Hs=26.79017;sp=20;sf=7;rx_timestamp=3038212009; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:00:09.121678;195;H=36;T=40;Hs=26.79017;sp=20;sf=7;rx_timestamp=3123748612; rssi=-98; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:01:34.732192;199;H=45;T=36;Hs=26.82579;sp=20;sf=7;rx_timestamp=3209286221; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:03:00.191218;203;H=50;T=34;Hs=26.79017;sp=20;sf=7;rx_timestamp=3294819853; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:04:25.634152;207;H=56;T=32;Hs=26.75454;sp=20;sf=7;rx_timestamp=3380355479; rssi=-95; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:05:51.665694;211;H=55;T=32;Hs=26.75454;sp=20;sf=7;rx_timestamp=3465892108; rssi=-99; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:07:16.712015;215;H=60;T=30;Hs=26.75454;sp=20;sf=7;rx_timestamp=3551428738; rssi=-96; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:08:43.098899;219;H=58;T=32;Hs=26.22017;sp=20;sf=7;rx_timestamp=3636976370; rssi=-94; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:10:07.698735;223;H=50;T=35;Hs=26.75454;sp=20;sf=7;rx_timestamp=3722515989; rssi=-95; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:11:33.634889;227;H=43;T=37;Hs=26.75454;sp=20;sf=7;rx_timestamp=3808052623; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:12:59.174137;231;H=41;T=38;Hs=26.11329;sp=20;sf=7;rx_timestamp=3893587249; rssi=-101; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
