2024-07-01 12:17:47.317848;120;H=82;T=26;Hs=13.18134;sp=20;sf=12;rx_timestamp=1120245303; rssi=-85; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:18:07.647778;121;H=80;T=27;Hs=13.21696;sp=2;sf=7;rx_timestamp=1140497263; rssi=-101; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:18:29.679795;122;H=80;T=27;Hs=13.21696;sp=2;sf=12;rx_timestamp=1163537243; rssi=-101; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:18:49.644649;123;H=80;T=27;Hs=13.21696;sp=20;sf=7;rx_timestamp=1182731290; rssi=-84; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:19:13.709372;124;H=80;T=27;Hs=13.21696;sp=20;sf=12;rx_timestamp=1205770271; rssi=-86; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:19:32.184850;125;H=79;T=27;Hs=13.07446;sp=2;sf=7;rx_timestamp=1226026221; rssi=-101; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:19:54.708397;126;H=79;T=27;Hs=13.07446;sp=2;sf=12;rx_timestamp=1249066207; rssi=-100; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:20:14.698379;127;H=79;T=27;Hs=13.07446;sp=20;sf=7;rx_timestamp=1268257250; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:20:37.236553;128;H=79;T=27;Hs=13.07446;sp=20;sf=12;rx_timestamp=1291297233; rssi=-85; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:20:57.705408;129;H=78;T=27;Hs=13.14571;sp=2;sf=7;rx_timestamp=1311552195; rssi=-100; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:21:20.727989;130;H=78;T=27;Hs=13.14571;sp=2;sf=12;rx_timestamp=1334590174; rssi=-101; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:21:39.724557;131;H=78;T=27;Hs=13.14571;sp=20;sf=7;rx_timestamp=1353782217; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:22:02.673994;132;H=78;T=27;Hs=13.14571;sp=20;sf=12;rx_timestamp=1376824193; rssi=-85; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:22:25.712065;133;H=77;T=27;Hs=13.28821;sp=2;sf=7;rx_timestamp=1399169143; rssi=-100; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:22:48.758070;134;H=77;T=27;Hs=13.28821;sp=2;sf=12;rx_timestamp=1422209124; rssi=-101; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;135;H=77;T=27;Hs=13.28821;sp=20;sf=7;rx_timestamp=1441403164; rssi=-86; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:23:31.541800;136;H=77;T=27;Hs=13.28821;sp=20;sf=12;rx_timestamp=1464444140; rssi=-86; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;137;H=74;T=27;Hs=13.00321;sp=2;sf=7;rx_timestamp=1484701090; rssi=-99; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:24:14.191401;138;H=74;T=27;Hs=13.00321;sp=2;sf=12;rx_timestamp=1507743074; rssi=-101; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:24:33.179746;139;H=74;T=27;Hs=13.00321;sp=20;sf=7;rx_timestamp=1526935111; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:24:56.240682;140;H=74;T=27;Hs=13.00321;sp=20;sf=12;rx_timestamp=1549975086; rssi=-87; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:25:17.312618;141;H=77;T=27;Hs=12.93195;sp=2;sf=7;rx_timestamp=1570234044; rssi=-101; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:25:39.714268;142;H=77;T=27;Hs=12.93195;sp=2;sf=12;rx_timestamp=1593274019; rssi=-102; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:25:58.710117;143;H=77;T=27;Hs=12.93195;sp=20;sf=7;rx_timestamp=1612467054; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:26:21.669551;144;H=77;T=27;Hs=12.93195;sp=20;sf=12;rx_timestamp=1635524035; rssi=-85; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:26:42.224558;145;H=77;T=27;Hs=13.07446;sp=2;sf=7;rx_timestamp=1655779978; rssi=-101; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:27:04.773271;146;H=77;T=27;Hs=13.07446;sp=2;sf=12;rx_timestamp=1678821955; rssi=-101; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:27:24.263432;147;H=77;T=27;Hs=13.07446;sp=20;sf=7;rx_timestamp=1698017991; rssi=-86; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:27:47.200625;148;H=77;T=27;Hs=13.07446;sp=20;sf=12;rx_timestamp=1721057964; rssi=-87; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:28:07.257882;149;H=77;T=27;Hs=13.00321;sp=2;sf=7;rx_timestamp=1741313919; rssi=-102; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:28:30.204338;150;H=77;T=27;Hs=13.00321;sp=2;sf=12;rx_timestamp=1764355892; rssi=-100; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;151;H=77;T=27;Hs=13.00321;sp=20;sf=7;rx_timestamp=1783548930; rssi=-84; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:29:12.808604;152;H=77;T=27;Hs=13.00321;sp=20;sf=12;rx_timestamp=1806588909; rssi=-88; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;153;H=76;T=27;Hs=13.07446;sp=2;sf=7;rx_timestamp=1826848855; rssi=-99; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:29:56.651380;154;H=76;T=27;Hs=13.07446;sp=2;sf=12;rx_timestamp=1849888835; rssi=-101; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;155;H=76;T=27;Hs=13.07446;sp=20;sf=7;rx_timestamp=1869080864; rssi=-87; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:30:38.174044;156;H=76;T=27;Hs=13.07446;sp=20;sf=12;rx_timestamp=1892124848; rssi=-85; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:30:58.732406;157;H=77;T=27;Hs=13.07446;sp=2;sf=7;rx_timestamp=1912380796; rssi=-100; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:31:21.668212;158;H=77;T=27;Hs=13.07446;sp=2;sf=12;rx_timestamp=1935422764; rssi=-98; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:31:40.765750;159;H=77;T=27;Hs=13.07446;sp=20;sf=7;rx_timestamp=1954618796; rssi=-83; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;160;H=77;T=27;Hs=13.07446;sp=20;sf=12;rx_timestamp=1977658772; rssi=-87; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:32:24.263335;161;H=79;T=27;Hs=13.07446;sp=2;sf=7;rx_timestamp=1997917720; rssi=-101; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:32:47.206315;162;H=79;T=27;Hs=13.07446;sp=2;sf=12;rx_timestamp=2020957697; rssi=-102; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:33:06.695155;163;H=79;T=27;Hs=13.07446;sp=20;sf=7;rx_timestamp=2040149728; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:33:29.247582;164;H=79;T=27;Hs=13.07446;sp=20;sf=12;rx_timestamp=2063191703; rssi=-87; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:33:49.724328;165;H=80;T=27;Hs=13.39508;sp=2;sf=7;rx_timestamp=2083473653; rssi=-100; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:34:12.771664;166;H=80;T=27;Hs=13.39508;sp=2;sf=12;rx_timestamp=2106513621; rssi=-100; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;167;H=80;T=27;Hs=13.39508;sp=20;sf=7;rx_timestamp=2125707661; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:34:55.210204;168;H=80;T=27;Hs=13.39508;sp=20;sf=12;rx_timestamp=2148749631; rssi=-86; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;169;H=77;T=27;Hs=12.93195;sp=2;sf=7;rx_timestamp=2171105570; rssi=-102; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:35:40.704364;170;H=77;T=27;Hs=12.93195;sp=2;sf=12;rx_timestamp=2194149542; rssi=-102; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:35:59.195854;171;H=77;T=27;Hs=12.93195;sp=20;sf=7;rx_timestamp=2213343582; rssi=-86; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:36:22.232358;172;H=77;T=27;Hs=12.93195;sp=20;sf=12;rx_timestamp=2236383551; rssi=-86; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:36:42.689023;173;H=74;T=27;Hs=13.32383;sp=2;sf=7;rx_timestamp=2256641502; rssi=-100; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:37:06.657497;174;H=74;T=27;Hs=13.32383;sp=2;sf=12;rx_timestamp=2279681470; rssi=-101; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:37:24.723390;175;H=74;T=27;Hs=13.32383;sp=20;sf=7;rx_timestamp=2298874507; rssi=-86; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:37:48.264390;176;H=74;T=27;Hs=13.32383;sp=20;sf=12;rx_timestamp=2321916484; rssi=-86; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:38:08.222142;177;H=79;T=26;Hs=12.96758;sp=2;sf=7;rx_timestamp=2342172425; rssi=-101; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;178;H=79;T=26;Hs=12.96758;sp=2;sf=12;rx_timestamp=2365212398; rssi=-101; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;179;H=79;T=26;Hs=12.96758;sp=20;sf=7;rx_timestamp=2384406432; rssi=-84; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
