2024-07-04 11:43:24.125386;490;H=95;T=27;Hs=82.65052;sp=2;sf=12;rx_timestamp=25797332; rssi=-108; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:39:12.126230;646;H=86;T=29;Hs=76.98611;sp=2;sf=12;rx_timestamp=3374360696; rssi=-110; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:40:38.181755;650;H=81;T=30;Hs=76.62985;sp=2;sf=12;rx_timestamp=3459911553; rssi=-111; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:42:03.620816;654;H=80;T=30;Hs=76.38048;sp=2;sf=12;rx_timestamp=3545448408; rssi=-111; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:43:29.191820;658;H=79;T=30;Hs=76.5586;sp=2;sf=12;rx_timestamp=3630824579; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:44:54.191746;662;H=76;T=31;Hs=76.23798;sp=2;sf=12;rx_timestamp=3716523106; rssi=-110; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:47:45.185133;670;H=69;T=31;Hs=76.38048;sp=2;sf=12;rx_timestamp=3887597809; rssi=-111; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:49:11.609993;674;H=76;T=31;Hs=76.09548;sp=2;sf=12;rx_timestamp=3973132663; rssi=-111; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:50:36.658804;678;H=73;T=30;Hs=76.13111;sp=2;sf=12;rx_timestamp=4058669507; rssi=-110; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:52:02.702681;682;H=70;T=30;Hs=75.95297;sp=2;sf=12;rx_timestamp=4144207350; rssi=-110; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;686;H=67;T=30;Hs=75.73923;sp=2;sf=12;rx_timestamp=4229744187; rssi=-111; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:54:55.653718;690;H=64;T=31;Hs=75.66797;sp=2;sf=12;rx_timestamp=22409738; rssi=-111; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
