265;H=95;T=23;Hs=0.0;sp=2;sf=7;send_time=1724691186;rx_timestamp=2870612764; rssi=-115; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
269;H=95;T=23;Hs=0.0;sp=2;sf=7;send_time=1724691308;rx_timestamp=2992183131; rssi=-115; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
273;H=95;T=23;Hs=0.0;sp=2;sf=7;send_time=1724691429;rx_timestamp=3113747837; rssi=-115; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
277;H=95;T=23;Hs=0.0;sp=2;sf=7;send_time=1724691551;rx_timestamp=3235396125; rssi=-116; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
281;H=95;T=23;Hs=0.0;sp=2;sf=7;send_time=1724691673;rx_timestamp=3356964486; rssi=-114; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
285;H=95;T=23;Hs=0.0;sp=2;sf=7;send_time=1724691794;rx_timestamp=3478530277; rssi=-115; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
289;H=95;T=23;Hs=0.0;sp=2;sf=7;send_time=1724691916;rx_timestamp=3600099599; rssi=-114; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
293;H=95;T=23;Hs=0.0;sp=2;sf=7;send_time=1724692037;rx_timestamp=3721662601; rssi=-115; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
297;H=95;T=23;Hs=0.0;sp=2;sf=7;send_time=1724692159;rx_timestamp=3843233533; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
301;H=95;T=23;Hs=0.0;sp=2;sf=7;send_time=1724692281;rx_timestamp=3964794618; rssi=-115; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
305;H=95;T=23;Hs=0.0;sp=2;sf=7;send_time=1724692406;rx_timestamp=4090556238; rssi=-115; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
309;H=95;T=23;Hs=0.0;sp=2;sf=7;send_time=1724692528;rx_timestamp=4212137614; rssi=-115; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
