2024-07-03 11:44:34.163658;327;H=43;T=36;Hs=47.63093;sp=20;sf=7;rx_timestamp=1724319061; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:44:57.130080;328;H=43;T=36;Hs=47.63093;sp=20;sf=12;rx_timestamp=1747386028; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:45:41.135561;330;H=43;T=37;Hs=47.70217;sp=2;sf=12;rx_timestamp=1790686927; rssi=-111; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:45:59.635456;331;H=43;T=37;Hs=47.70217;sp=20;sf=7;rx_timestamp=1809881954; rssi=-98; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:46:22.698734;332;H=43;T=37;Hs=47.70217;sp=20;sf=12;rx_timestamp=1832924915; rssi=-98; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:46:43.162405;333;H=41;T=37;Hs=47.7378;sp=2;sf=7;rx_timestamp=1853213825; rssi=-111; snr=0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:47:06.142731;334;H=41;T=37;Hs=47.7378;sp=2;sf=12;rx_timestamp=1876093145; rssi=-111; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:47:25.598408;335;H=41;T=37;Hs=47.7378;sp=20;sf=7;rx_timestamp=1895449815; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:47:48.640654;336;H=41;T=37;Hs=47.7378;sp=20;sf=12;rx_timestamp=1918492771; rssi=-97; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:48:08.601585;337;H=44;T=36;Hs=47.23905;sp=2;sf=7;rx_timestamp=1938751765; rssi=-109; snr=1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:48:31.765572;338;H=44;T=36;Hs=47.23905;sp=2;sf=12;rx_timestamp=1961794730; rssi=-111; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:48:51.138535;339;H=44;T=36;Hs=47.23905;sp=20;sf=7;rx_timestamp=1980987756; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:49:14.092439;340;H=44;T=36;Hs=47.23905;sp=20;sf=12;rx_timestamp=2004030718; rssi=-95; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:49:34.641499;341;H=43;T=36;Hs=47.09655;sp=2;sf=7;rx_timestamp=2024288656; rssi=-110; snr=0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:49:57.682599;342;H=43;T=36;Hs=47.09655;sp=2;sf=12;rx_timestamp=2047329619; rssi=-110; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:50:16.675568;343;H=43;T=36;Hs=47.09655;sp=20;sf=7;rx_timestamp=2066526643; rssi=-96; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:50:39.646291;344;H=43;T=36;Hs=47.09655;sp=20;sf=12;rx_timestamp=2089567615; rssi=-95; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:51:23.115034;346;H=42;T=38;Hs=47.27468;sp=2;sf=12;rx_timestamp=2132865517; rssi=-109; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:51:42.178959;347;H=42;T=38;Hs=47.27468;sp=20;sf=7;rx_timestamp=2152058547; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:52:05.154106;348;H=42;T=38;Hs=47.27468;sp=20;sf=12;rx_timestamp=2175103509; rssi=-95; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:52:29.680872;349;H=40;T=39;Hs=47.02529;sp=2;sf=7;rx_timestamp=2199549452; rssi=-110; snr=1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:52:52.644565;350;H=40;T=39;Hs=47.02529;sp=2;sf=12;rx_timestamp=2222593406; rssi=-109; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:53:11.639924;351;H=40;T=39;Hs=47.02529;sp=20;sf=7;rx_timestamp=2241788449; rssi=-95; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:53:35.184997;352;H=40;T=39;Hs=47.02529;sp=20;sf=12;rx_timestamp=2264829404; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
