2024-07-04 13:20:41.600696;762;H=70;T=27;Hs=73.74421;sp=2;sf=12;rx_timestamp=979564691; rssi=-109; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:21:01.079250;763;H=70;T=27;Hs=73.74421;sp=20;sf=7;rx_timestamp=998760724; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:21:24.122832;764;H=70;T=27;Hs=73.74421;sp=20;sf=12;rx_timestamp=1021803682; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:21:44.085646;765;H=70;T=27;Hs=73.28108;sp=2;sf=7;rx_timestamp=1042060633; rssi=-112; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:22:07.620924;766;H=70;T=27;Hs=73.28108;sp=2;sf=12;rx_timestamp=1065103581; rssi=-109; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:22:26.230209;767;H=70;T=27;Hs=73.28108;sp=20;sf=7;rx_timestamp=1084299612; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:22:49.064111;768;H=70;T=27;Hs=73.28108;sp=20;sf=12;rx_timestamp=1107341580; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:23:09.746446;769;H=73;T=27;Hs=73.42359;sp=2;sf=7;rx_timestamp=1127600521; rssi=-112; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:23:32.562764;770;H=73;T=27;Hs=73.42359;sp=2;sf=12;rx_timestamp=1150643479; rssi=-109; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:23:51.550709;771;H=73;T=27;Hs=73.42359;sp=20;sf=7;rx_timestamp=1169839508; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:24:14.609213;772;H=73;T=27;Hs=73.42359;sp=20;sf=12;rx_timestamp=1192881475; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:24:35.061898;773;H=72;T=26;Hs=73.24545;sp=2;sf=7;rx_timestamp=1213139414; rssi=-111; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:24:58.612168;774;H=72;T=26;Hs=73.24545;sp=2;sf=12;rx_timestamp=1236182363; rssi=-110; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
