2024-07-05 09:55:24.163175;147;H=45;T=39;Hs=62.91414;sp=20;sf=7;rx_timestamp=2244614544; rssi=-108; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:55:46.582151;148;H=45;T=39;Hs=62.91414;sp=20;sf=12;rx_timestamp=2267654435; rssi=-108; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:57:00.071526;151;H=42;T=39;Hs=63.19915;sp=20;sf=7;rx_timestamp=2330147190; rssi=-108; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:57:12.111200;152;H=42;T=39;Hs=63.19915;sp=20;sf=12;rx_timestamp=2353191085; rssi=-108; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:58:16.637086;155;H=50;T=37;Hs=62.94977;sp=20;sf=7;rx_timestamp=2417813841; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:58:39.615518;156;H=50;T=37;Hs=62.94977;sp=20;sf=12;rx_timestamp=2440853743; rssi=-108; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:59:42.071380;159;H=48;T=37;Hs=62.59352;sp=20;sf=7;rx_timestamp=2503345501; rssi=-108; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:00:05.617315;160;H=48;T=37;Hs=62.59352;sp=20;sf=12;rx_timestamp=2526389396; rssi=-108; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:01:09.645638;163;H=45;T=38;Hs=62.73602;sp=20;sf=7;rx_timestamp=2590977150; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:01:32.653824;164;H=45;T=38;Hs=62.73602;sp=20;sf=12;rx_timestamp=2614017050; rssi=-108; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:02:35.637867;167;H=43;T=38;Hs=62.41539;sp=20;sf=7;rx_timestamp=2676507785; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:02:58.083465;168;H=43;T=38;Hs=62.41539;sp=20;sf=12;rx_timestamp=2699547683; rssi=-106; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:04:01.079942;171;H=45;T=39;Hs=62.41539;sp=20;sf=7;rx_timestamp=2762044438; rssi=-108; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:04:24.011016;172;H=45;T=39;Hs=62.41539;sp=20;sf=12;rx_timestamp=2785086329; rssi=-108; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:05:26.612735;175;H=45;T=39;Hs=62.41539;sp=20;sf=7;rx_timestamp=2847579077; rssi=-108; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:05:49.647572;176;H=45;T=39;Hs=62.41539;sp=20;sf=12;rx_timestamp=2870618973; rssi=-106; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:06:52.155459;179;H=42;T=40;Hs=62.13039;sp=20;sf=7;rx_timestamp=2933107724; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:07:15.581683;180;H=42;T=40;Hs=62.13039;sp=20;sf=12;rx_timestamp=2956149619; rssi=-106; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:08:20.087305;183;H=42;T=38;Hs=62.09476;sp=20;sf=7;rx_timestamp=3020754358; rssi=-108; snr=2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:08:42.631765;184;H=42;T=38;Hs=62.09476;sp=20;sf=12;rx_timestamp=3043797252; rssi=-108; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 10:09:45.121477;187;H=40;T=38;Hs=62.09476;sp=20;sf=7;rx_timestamp=3106289996; rssi=-106; snr=2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
